id,started_at,finished_at,status,sources_processed,items_found,published_items,error_log,created_at
09ea5d20-3aa3-4fb7-a180-205a41c1ec36,2026-05-15 00:47:32.155+00,2026-05-15 00:48:16.747+00,success,8,11,"[{""link"":""https://techcrunch.com/2026/05/14/what-the-jury-will-actually-decide-in-the-case-of-elon-musk-vs-sam-altman/"",""title"":""El caso Musk vs. Altman: ¿qué decidirá el jurado?""},{""link"":""https://techcrunch.com/2026/05/14/elon-musks-spacexai-has-been-bleeding-staff-since-its-merger/"",""title"":""Despidos en SpaceXAI tras fusión con Elon Musk""},{""link"":""https://techcrunch.com/2026/05/14/openai-says-codex-is-coming-to-your-phone/"",""title"":""OpenAI Codex llega a dispositivos móviles""},{""link"":""https://openai.com/index/work-with-codex-from-anywhere"",""title"":""Codex en cualquier lugar: trabajo remoto con ChatGPT""},{""link"":""https://openai.com/index/chatgpt-recognize-context-in-sensitive-conversations"",""title"":""Mejoras en ChatGPT para conversaciones sensibles""},{""link"":""https://openai.com/index/building-codex-windows-sandbox"",""title"":""Sandbox Seguro para Codex en Windows: Avances en Inteligencia Artificial""},{""link"":""https://www.technologyreview.com/2026/05/14/1137034/data-readiness-for-agentic-ai-in-financial-services/"",""title"":""Agentic AI en servicios financieros: Preparación de datos clave""},{""link"":""https://www.technologyreview.com/2026/05/14/1137168/establishing-ai-and-data-sovereignty-in-the-age-of-autonomous-systems/"",""title"":""La soberanía de datos en la era de los sistemas autónomos""},{""link"":""https://www.technologyreview.com/2026/05/14/1137161/ai-porn-nonconsensual-deepfakes-takedown-piracy-copyright/"",""title"":""La peligrosidad de los deepfakes en la era digital""},{""link"":""https://huggingface.co/blog/ibm-granite/granite-embedding-multilingual-r2"",""title"":""Granite Embedding Multilingual R2: Avance en Multilingüismo con Contexto""},{""link"":""https://huggingface.co/blog/continuous_async"",""title"":""Avances en Batching Continuo: Sincronía Asincrónica""}]","Error en Wired AI: Status code 404
Error en Anthropic: Status code 404
Error en Google AI Blog: Status code 404",2026-05-15 00:47:32.311933+00
0c06214a-40a7-4fef-8426-7cfc39b039e4,2026-04-27 00:31:56.78+00,2026-04-27 00:32:06.701+00,success,8,2,"[{""link"":""https://techcrunch.com/2026/04/26/to-buy-this-bay-area-home-youll-need-anthropic-equity/"",""title"":""Propiedad en Mill Valley requiere inversión en Anthropic""},{""link"":""https://openai.com/index/our-principles"",""title"":""5 Principios para el Avance de la Inteligencia Artificial""}]","Error en Wired AI: Status code 404
Error en Anthropic: Status code 404
Error en Google AI Blog: Status code 404",2026-04-27 00:31:57.299025+00
1002d8f1-77c7-4d28-a10d-12c7a6f5b30b,2026-05-29 00:44:21.331+00,2026-05-29 00:44:30.998+00,success,8,6,"[{""link"":""https://techcrunch.com/2026/05/28/the-internet-is-being-rebuilt-for-machines/"",""title"":""La red internet se reconfigura para máquinas""},{""link"":""https://techcrunch.com/2026/05/28/asana-acquires-no-code-agent-builder-stack-ai/"",""title"":""Asana adquiere StackAI para mejorar herramientas de flujo de trabajo con IA""},{""link"":""https://techcrunch.com/2026/05/28/anthropic-raises-65-billion-nears-1t-valuation-ahead-of-ipo/"",""title"":""Anthropic alcanza $965 mil millones de valoración previa a su IPO""},{""link"":""https://openai.com/index/endava"",""title"":""Endava Implementa Codex para Organizaciones Agentes""},{""link"":""https://openai.com/index/openai-frontier-governance-framework"",""title"":""OpenAI Presenta Marco de Gobierno para la IA: Cumpliendo con Regulaciones EU y California""},{""link"":""https://www.technologyreview.com/2026/05/28/1138053/the-ai-hype-index-ai-gets-booed-in-graduation-season/"",""title"":""La clase de 2026 rechaza el papel de la IA en la sociedad""}]","Error en Wired AI: Status code 404
Error en Anthropic: Status code 404
Error en Google AI Blog: Status code 404",2026-05-29 00:44:21.574161+00
118b765a-5fb5-4db0-824a-0fd00f69fb78,2026-04-30 00:15:31.082+00,2026-04-30 00:16:08.325+00,success,8,9,"[{""link"":""https://techcrunch.com/2026/04/29/amazons-cloud-business-is-surging-and-so-is-its-capital-spending/"",""title"":""Amazon's AWS registra crecimiento en sus gastos de capital""},{""link"":""https://techcrunch.com/2026/04/29/sources-anthropic-could-raise-a-new-50b-round-at-a-valuation-of-900b/"",""title"":""Anthropic podría levantar $50B en una ronda de financiación a $900B""},{""link"":""https://techcrunch.com/2026/04/29/on-the-stand-elon-musk-cant-escape-his-own-tweets/"",""title"":""Elon Musk en la corte: intenta desmantelar OpenAI""},{""link"":""https://openai.com/index/building-the-compute-infrastructure-for-the-intelligence-age"",""title"":""OpenAI amplía capacidad de cálculo para impulsar la Inteligencia Artificial""},{""link"":""https://openai.com/index/cybersecurity-in-the-intelligence-age"",""title"":""Fortaleciendo la Ciberseguridad en la Era de la Inteligencia""},{""link"":""https://openai.com/index/openai-on-aws"",""title"":""OpenAI lanza modelos de IA en AWS para una seguridad mejorada""},{""link"":""https://huggingface.co/blog/evaleval/eval-costs-bottleneck"",""title"":""Limitaciones de Evaluación de IA se Convertirán en el Nuevo Bottleneck de Computación""},{""link"":""https://huggingface.co/blog/ibm-granite/granite-4-1"",""title"":""Granite 4.1 LLMs: Arquitectura y Construcción""},{""link"":""https://huggingface.co/blog/inference-providers-deepinfra"",""title"":""Hugging Face Presenta DeepInfra: Un Proveedor de Inferencia Avanzado""}]","Error en Wired AI: Status code 404
Error en Anthropic: Status code 404
Error en Google AI Blog: Status code 404",2026-04-30 00:15:32.321097+00
129238c6-d823-4036-ae91-028338e72323,2026-05-31 00:40:43.022+00,2026-05-31 00:40:55.258+00,success,8,4,"[{""link"":""https://techcrunch.com/2026/05/30/softbank-says-it-will-invest-up-to-e75-billion-to-build-french-data-centers/"",""title"":""SoftBank invierte €75 mil millones en centros de datos franceses""},{""link"":""https://techcrunch.com/2026/05/30/what-a-joke-github-copilots-new-token-based-billing-spurs-consternation-among-devs/"",""title"":""Github Copilot cambia a token-based billing: ¿qué significa para los desarrolladores?""},{""link"":""https://techcrunch.com/2026/05/30/meta-is-reportedly-developing-an-ai-pendant/"",""title"":""Meta Desarrolla un Pendiente con Inteligencia Artificial""},{""link"":""https://huggingface.co/blog/torch-profiler"",""title"":""Guía para Profiling en PyTorch con torch.profiler""}]","Error en Wired AI: Status code 404
Error en Anthropic: Status code 404
Error en Google AI Blog: Status code 404",2026-05-31 00:40:43.643857+00
17cae41b-2a24-4799-b5b7-d583a6bc099a,2026-05-17 00:48:32.287+00,2026-05-17 00:48:43.198+00,success,8,5,"[{""link"":""https://techcrunch.com/2026/05/16/the-haves-and-have-nots-of-the-ai-gold-rush/"",""title"":""La AI: una fiebre de oro con desigualdades""},{""link"":""https://techcrunch.com/2026/05/16/research-repository-arxiv-will-ban-authors-for-a-year-if-they-let-ai-do-all-the-work/"",""title"":""ArXiv prohíbe a autores que usen IA de manera descuidada""},{""link"":""https://techcrunch.com/2026/05/16/openai-co-founder-greg-brockman-reportedly-takes-charge-of-product-strategy/"",""title"":""OpenAI redefine su estrategia de productos""},{""link"":""https://openai.com/index/malta-chatgpt-plus-partnership"",""title"":""OpenAI y Malta unen fuerzas para expandir acceso a ChatGPT Plus""},{""link"":""https://openai.com/academy/codex-for-work/how-business-operations-teams-use-codex"",""title"":""Codex en Operaciones de Negocios: Mejora la Eficiencia""}]","Error en Wired AI: Status code 404
Error en Anthropic: Status code 404
Error en Google AI Blog: Status code 404",2026-05-17 00:48:32.520173+00
18fe4b1e-5823-46a5-bf6c-01fbaaa2330a,2026-05-01 00:15:30.981+00,2026-05-01 00:15:52.507+00,success,8,6,"[{""link"":""https://techcrunch.com/2026/04/30/anthropic-potential-900b-valuation-round-could-happen-within-two-weeks/"",""title"":""Anthropic podría alcanzar una valoración de $900B+ en una ronda de financiación""},{""link"":""https://techcrunch.com/2026/04/30/apple-was-surprised-by-ai-driven-demand-for-macs/"",""title"":""Demanda impulsada por IA pone a prueba la oferta de Mac de Apple""},{""link"":""https://techcrunch.com/2026/04/30/legal-ai-startup-legora-hits-5-6-valuation-and-its-battle-with-harvey-just-got-hotter/"",""title"":""Legora supera los $5.6B en valoración y enfrenta a Harvey en una batalla intensa""},{""link"":""https://openai.com/index/advanced-account-security"",""title"":""Mejora de Seguridad en Cuentas con Phishing-Resistente""},{""link"":""https://openai.com/index/where-the-goblins-came-from"",""title"":""Orígenes de los goblins en modelos de IA: una mirada a la evolución y soluciones""},{""link"":""https://www.technologyreview.com/2026/04/30/1136721/this-startups-new-mechanistic-interpretability-tool-lets-you-debug-llms/"",""title"":""Nueva Herramienta de Interpretabilidad para LLMs""}]","Error en Wired AI: Status code 404
Error en Anthropic: Status code 404
Error en Google AI Blog: Status code 404",2026-05-01 00:15:32.992915+00
1d8abe37-0260-4bc6-bd2d-fa8ae5df6cc1,2026-04-21 00:21:26.064+00,2026-04-21 00:21:47.081+00,success,8,7,"[{""link"":""https://techcrunch.com/2026/04/20/anthropic-takes-5b-from-amazon-and-pledges-100b-in-cloud-spending-in-return/"",""title"":""Amazon invierte $5B en Anthropic y compromete $100B en AWS""},{""link"":""https://techcrunch.com/2026/04/20/google-rolls-out-gemini-in-chrome-in-seven-new-countries/"",""title"":""Google Lanza Gemini en Chrome en 7 Nuevos Países""},{""link"":""https://techcrunch.com/2026/04/20/ai-writing-its-not-just-this-its-that-barrons/"",""title"":""La sintaxis de la IA: un indicio creciente de escritura generada""},{""link"":""https://openai.com/index/hyatt-advances-ai-with-chatgpt-enterprise"",""title"":""Hyatt Implementa ChatGPT Enterprise para Mejorar Productividad""},{""link"":""https://openai.com/index/codex-for-almost-everything"",""title"":""Codex: Herramienta de IA para Desarrolladores""},{""link"":""https://www.technologyreview.com/2026/04/20/1136149/chinese-tech-workers-ai-colleagues/"",""title"":""Trabajadores chinos entrenan a sus dobles de IA""},{""link"":""https://www.technologyreview.com/2026/04/17/1135416/how-robots-learn-brief-contemporary-history/"",""title"":""La evolución de la robótica: Una historia breve y contemporánea""}]","Error en Wired AI: Status code 404
Error en Anthropic: Status code 404
Error en Google AI Blog: Status code 404",2026-04-21 00:21:26.411323+00
1dc6a2dc-2073-4495-b3b5-36b5e8b8ff69,2026-04-08 00:43:43.771+00,2026-04-08 00:43:52.829+00,success,8,4,"[{""link"":""https://techcrunch.com/2026/04/07/i-cant-help-rooting-for-tiny-open-source-ai-model-maker-arcee/"",""title"":""Arcee: El pequeño startup que revoluciona el LLM abierto""},{""link"":""https://techcrunch.com/2026/04/07/firmus-the-southgate-ai-datacenter-builder-backed-by-nvidia-hits-5-5b-valuation/"",""title"":""Nvidia Backs Firmus, AI Data Center Builder, a $5.5B Valuation""},{""link"":""https://techcrunch.com/2026/04/07/intel-signs-on-to-elon-musks-terafab-chips-project/"",""title"":""Intel se une a Terafab: un nuevo proyecto de chips en Texas""},{""link"":""https://www.technologyreview.com/2026/04/07/1134966/enabling-agent-first-process-redesign/"",""title"":""Rediseño de procesos con agentes de IA""}]","Error en Wired AI: Status code 404
Error en Anthropic: Status code 404
Error en Google AI Blog: Status code 404",2026-04-08 00:43:44.380982+00
22c05f6a-6464-4dfd-910d-25ba5bf81d10,2026-05-30 00:44:21.004+00,2026-05-30 00:44:53.739+00,success,8,8,"[{""link"":""https://techcrunch.com/2026/05/29/coders-are-refusing-to-work-without-ai-and-that-could-come-back-to-bite-them/"",""title"":""Código automatizado: el riesgo de confiar en la IA""},{""link"":""https://techcrunch.com/2026/05/29/artificial-intelligence-definition-glossary-hallucinations-guide-to-common-ai-terms/"",""title"":""Glosario de Términos de IA: Entendiendo la Jerga""},{""link"":""https://techcrunch.com/video/what-happens-when-companies-become-too-ai-pilled/"",""title"":""Riesgos de la sobreconfianza en la Inteligencia Artificial""},{""link"":""https://openai.com/index/boston-childrens-hospital"",""title"":""Boston Children's Hospital utiliza IA para diagnosticar enfermedades raras""},{""link"":""https://openai.com/index/braintrust"",""title"":""Braintrust Utiliza Codex para Convertir Solicitudes de Clientes en Código""},{""link"":""https://openai.com/index/strengthening-societal-resilience-with-rosalind-biodefense"",""title"":""OpenAI Lanza Rosalind Biodefense para Fortalecer la Resiliencia Social""},{""link"":""https://www.technologyreview.com/2026/05/29/1138107/how-the-popes-magnifica-humanitas-offers-a-template-for-individuals-to-meet-the-ai-moment/"",""title"":""La Iglesia Católica aborda la ética de la Inteligencia Artificial""},{""link"":""https://huggingface.co/blog/torch-profiler"",""title"":""Guía Básica de Profiling en PyTorch con torch.profiler""}]","Error en Wired AI: Status code 404
Error en Anthropic: Status code 404
Error en Google AI Blog: Status code 404",2026-05-30 00:44:21.850833+00
